ANONYMOUS_ID,USER_ID,TIMESTAMP,CONTEXT_SESSION_ID,CONTEXT_CAMPAIGN_NAME,CONTEXT_CAMPAIGN_MEDIUM,CONTEXT_CAMPAIGN_SOURCE
'1f9af75b350d0346b4443a5471250ec3','','2022-05-13 12:42:38','','Newsletter + QR Blog','email_action','mktemail'
'1f9af75b350d0346b4443a5471250ec3','','2022-05-13 12:47:18','','Newsletter + QR Blog','email_action','mktemail'
'1f9af75b350d0346b4443a5471250ec3','d0bdaa1ce0c93542e2208205d30d19b2','2022-05-13 13:24:44','','Newsletter + QR Blog','email_action','mktemail'
'1f9af75b350d0346b4443a5471250ec3','d0bdaa1ce0c93542e2208205d30d19b2','2022-05-13 13:24:46','','','',''
'1f9af75b350d0346b4443a5471250ec3','d0bdaa1ce0c93542e2208205d30d19b2','2022-05-13 13:25:27','','','',''
'1f9af75b350d0346b4443a5471250ec3','d0bdaa1ce0c93542e2208205d30d19b2','2022-05-13 13:59:29','','Newsletter + QR Blog','email_action','mktemail'
'1f9af75b350d0346b4443a5471250ec3','','2022-05-13 13:20:27','','Newsletter + QR Blog','email_action','mktemail'
'1f9af75b350d0346b4443a5471250ec3','','2022-05-13 12:47:14','','Newsletter + QR Blog','email_action','mktemail'
'1f9af75b350d0346b4443a5471250ec3','','2022-05-13 12:47:50','','','',''
'1f9af75b350d0346b4443a5471250ec3','d0bdaa1ce0c93542e2208205d30d19b2','2022-05-13 13:21:00','','','',''
'1f9af75b350d0346b4443a5471250ec3','d0bdaa1ce0c93542e2208205d30d19b2','2022-05-13 13:24:33','','','',''
'1f9af75b350d0346b4443a5471250ec3','d0bdaa1ce0c93542e2208205d30d19b2','2022-05-13 13:59:03','','website  ','email','growth_email'
'1f9af75b350d0346b4443a5471250ec3','d0bdaa1ce0c93542e2208205d30d19b2','2022-05-13 13:59:21','','website  ','email','growth_email'
'1f9af75b350d0346b4443a5471250ec3','','2022-05-13 13:09:29','','website  ','email','growth_email'
'1f9af75b350d0346b4443a5471250ec3','','2022-05-13 13:20:27','','website  ','email','growth_email'
